#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
82;Žena iz Potoka ne želi da joj govore „Ne idi na konkurs, sve se već zna, nećeš dobiti posao“.;"A woman from Potoci does not want to be told ""Don't go to the contest, everything is already known, you won't get a job"".";women;life together;2.0;;2.0;4;20.2;4.2;;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;2;2.0;1.186441;2.058824;0.0;1.372549;0.230928;0.774194
83;Žena iz Potoka želi da ima više od samo krova nad glavom (posao).;A woman from Potoci wants to have more than just a roof over her head (a job).;women;life together;3.0;;1.0;4;10.3;20.8;;10;3.0;Housing;20;8.0;Livelihoods;Rights & Dignity;Economic Activity & Livelihoods;3;1.0;1.186441;3.088235;0.0;0.686275;1.723077;1.030928
84;Ako se susjed u Potocima ne javi nekoliko dana, ljudi idu da vide je li dobro;If a neighbor in Potoci does not check in for a few days, people go to see if he's okay.;women;life together;2.0;1.0;1.0;4;6.12;6.2;;6;12.0;Neighbor Relations;6;2.0;Personal relationships;Culture & Society;Culture & Society;1;1.0;1.186441;2.058824;1.060606;0.686275;0.096469;1.274074
85;Kada starija osoba u Potocima nosi nešto teško, mlađa osoba joj pomaže.;When an elderly person in Potoci carries something heavy, a younger person helps them.;youth;life together;2.0;;2.0;4;6.1;6.6;2022-02-14 00:00:00;6;10.0;Us V Them;6;6.0;Inter-generational Relations;Culture & Society;Culture & Society;2;2.0;1.186441;2.058824;0.0;1.372549;0.096469;1.274074
86;Park Vrba je uređen;Vrba Park is well arranged.;women;life together;2.0;;2.0;4;3.1;3.8;;3;10.0;Open Spaces;3;8.0;Condition;Culture & Society;Culture & Society;2;2.0;1.186441;2.058824;0.0;1.372549;0.203341;1.058824
87;U svim ulicama u Potocima postoji rasvjeta.;There are streetlights in every street in Potoci.;men;life together;;;4.0;4;17.3;3.1;;17;3.0;Public Lighting;3;10.0;Open Spaces;Economic Activity & Livelihoods;Culture & Society;0;4.0;1.186441;0.0;0.0;2.745098;0.454545;1.058824
88;Mjesna zajednica okuplja sve ljude zajedno (Srbe, Hrvate i Bošnjake).;The local MZ brings all people together (Serbs, Croats and Bosniaks).;men;life together;;2.0;2.0;4;6.9;9.6;;6;9.0;Ethno-religious identity;9;6.0;Mjesna zajednica;Culture & Society;Rights & Dignity;-2;2.0;1.186441;0.0;2.121212;1.372549;0.096469;1.22449
89;Ljudi iz BiH se ne sele u Njemačku, jer i u BiH mogu dovoljno zaraditi.;People from B&H do not move to Germany, because they can also earn enough in B&H.;youth;life together;;2.0;2.0;4;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;-2;2.0;1.186441;0.0;2.121212;1.372549;0.230928;0.0
90;Škole u Potocima održavaju malonogometni turniri.;Schools in Potoci hold indoor football tournaments.;youth;life together;;;4.0;4;19.4;12.3;;19;4.0;Student activities;12;3.0;Activities;Rights & Dignity;Culture & Society;0;4.0;1.186441;0.0;0.0;2.745098;1.609195;1.142857
91;Hrvat iz Potoka je posjetio spomen obilježja stradanja sva 3 naroda.;A Croat from Potoci visited the memorial for the suffering of all 3 nations.;men;life together;;1.0;3.0;4;6.9;7.1;;6;9.0;Ethno-religious identity;7;10.0;Memorialization;Culture & Society;Dealing with the Past;-1;1.0;1.186441;0.0;1.060606;2.058824;0.096469;1.333333
101;Ljudi iz Potoka ne bacaju smeće u potok;People from Potoci do not throw garbage in the stream.;women;life together;2.0;;1.0;3;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;2;1.0;0.889831;2.058824;0.0;0.686275;4.0;0.794118
102;Kada je 2012. bio veliki snijeg, komšije Bošnjaci su pročistili put do komšinice Ljubice koja sama živi;When there was a heavy snow in 2012, Bosniak neighbors cleared the road to their neighbor Ljubica, who lives alone.;men;life together;1.0;;2.0;3;6.12;6.9;;6;12.0;Neighbor Relations;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;1;1.0;0.889831;1.029412;0.0;1.372549;0.072351;0.955556
103;Kada je prodavnica obijena, ljudi ne pitaju koje je nacionalnosti provalnik;When the store is broken into, people do not ask what nationality the burglar is.;men;life together;;1.0;2.0;3;4.3;6.1;;4;3.0;Non-violent Crime;6;10.0;Us V Them;Rights & Dignity;Culture & Society;-1;1.0;0.889831;0.0;1.060606;1.372549;0.564516;0.955556
