#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
68;U BiH postoji radne navike.;There are work habits in B&H.;men;life together;3.0;1.0;2.0;6;20.0;;;20;0.0;Business;0;0;0;Economic Activity & Livelihoods;0;2;1;1.810945;2.56338;0.862559;2.03352;0.631944;0.0
69;Na ljeto bude fešta kod škole u Cimu.;There is a summer party near the school in Cim.;men;life together;2.0;;4.0;6;3.7;11.2;;3;7.0;Activities;11;2.0;Social;Culture & Society;Culture & Society;2;2;1.810945;1.70892;0.0;4.067039;0.304348;1.85567
79;Mlađe osobe nije stid pitati starije susjede da li im je potrebna pomoć.;Younger persons don't feel shame to ask elderly neighbors if they need help.;youth;life together;1.0;1.0;3.0;5;6.6;6.1;;6;6.0;Inter-generational Relations;6;10.0;Us V Them;Culture & Society;Culture & Society;0;1;1.509121;0.85446;0.862559;3.050279;0.089744;1.333333
80;Roditelji uče djecu da vole svoju vjeru.;Parents teach their kid to love their faith.;women;life together;3.0;1.0;1.0;5;15.2;14.1;;15;2.0;Infrastructure;14;10.0;Religious education;Culture & Society;Culture & Society;2;1;1.509121;2.56338;0.862559;1.01676;1.378788;1.142857
81;U BiH su radna mjesta adekvatno plaćena.;Work places in B&H are adequately paid.;men;life together;3.0;;2.0;5;20.2;20.8;;20;2.0;Hiring & employment;20;8.0;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;3;2;1.509121;2.56338;0.0;2.03352;0.52662;1.666667
82;Svećenik iz Cima je organizirao folklor.;A priest from Cim organized a folklore event.;women;life together;3.0;2.0;;5;14.0;3.7;;14;0.0;Religion;3;7.0;Activities;Culture & Society;Culture & Society;1;2;1.509121;2.56338;1.725118;0.0;0.8125;0.737179
83;Ljudi ne pale smeće u Cimu.;People don't burn trash in Cim.;women;life together;4.0;1.0;;5;3.2;18.2;;3;2.0;Public Ownership;18;2.0;Waste prevention;Culture & Society;Rights & Dignity;3;1;1.509121;3.41784;0.862559;0.0;0.253623;1.538462
101;Obitelj ne osjeti smrtni slučaj toliko, jer susjedi urade najveći dio posla.;A family doesn't feel a death of a loved one as much because the neighbors do most of the work.;men;life together;1.0;3.0;;4;6.1;;;6;10.0;Us V Them;0;0;0;Culture & Society;0;-2;1;1.207297;0.85446;2.587678;0.0;0.071795;0.0
102;Djeca u Cimu se druže kao i stariji ljudi.;Kids in Cim socialize as do the elderly.;men;life together;;2.0;2.0;4;15.0;11.0;;15;0.0;Youth;11;0;Socializing;Culture & Society;Culture & Society;-2;2;1.207297;0.0;1.725118;2.03352;1.10303;1.237113
103;Klasne razlike ne utječu na druženje između starijih ljudi u Cimu.;Class differences don't affect socializing between older people in Cim.;men;life together;2.0;;2.0;4;20.8;11.0;;20;8.0;Livelihoods;11;0;Socializing;Economic Activity & Livelihoods;Culture & Society;2;2;1.207297;1.70892;0.0;2.03352;0.421296;1.237113
104;U Mostaru ne postoje „istočna“ i „zapadna“ strana.;"There is no ""east"" and ""west"" side in Mostar.";youth;life together;1.0;;3.0;4;3.2;1.3;;3;2.0;Public Ownership;1;3.0;Social;Culture & Society;Culture & Society;1;1;1.207297;0.85446;0.0;3.050279;0.202899;0.756757
105;Mostar je mali grad, u kojem svatko svakog poznaje.;Mostar is a small city, where everybody knows everybody.;youth;life together;1.0;;3.0;4;1.3;6.0;;1;3.0;Social;6;0;Social Relations;Culture & Society;Culture & Society;1;1;1.207297;0.85446;0.0;3.050279;0.702703;1.066667
106;Ženu iz Cima će susjedi uvijek odbaciti autom, ako joj nešto hitno treba.;The neighbors will always give a woman from Cim a lift with a car if she urgently needs it.;women;life together;2.0;2.0;;4;6.1;22.0;;6;10.0;Us V Them;22;0;Gender;Culture & Society;Culture & Society;0;2;1.207297;1.70892;1.725118;0.0;0.071795;1.263158
107;Ženi iz Cima će susjedi pričuvati dijete ako treba.;The neighbors will take care of a Cim woman's child if needed.;women;life together;3.0;1.0;;4;15.0;6.1;;15;0.0;Youth;6;10.0;Us V Them;Culture & Society;Culture & Society;2;1;1.207297;2.56338;0.862559;0.0;1.10303;1.066667
108;Kafići u Mostaru su svaki dan krcati ljudima.;The cafes in Mostar are full of people everyday.;women;life together;;1.0;3.0;4;11.1;;;11;10.0;Cafes and Space;0;0;0;Culture & Society;0;-1;1;1.207297;0.0;0.862559;3.050279;0.250172;0.0
109;Ljude nije briga tko im je predsjednik, ako je država uređena dostojno čovjeka.;People don't care who their president is if the country is organized such that people can lead dignified lives.;women;life together;1.0;;3.0;4;1.2;9.3;;1;2.0;Political;9;3.0;Political functionality;Culture & Society;Rights & Dignity;1;1;1.207297;0.85446;0.0;3.050279;0.702703;0.75
