#;Indikator_BHS;Indicator_Eng;Focus_Group;Concept;F;M;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
122;Djeca se ne boje kretati po Zaliku kad je mrak, jer ima rasvjete.;Kids aren't afraid to walk in Zalik during the night because there are street lights.;women;life together;1;;5;6;17.3;3.3;;17;3;Public Lighting;3;3;Comfort;Economic Activity & Livelihoods;Culture & Society;1;1;1.16;0.65;0.00;1.96;0.65;0.72
141;U Zaliku nema sukoba među ljudima koji tu žive;In Zalik there are no conflicts between the people who live there.;youth;life together;3;1;1;5;4.4;6.3;;4;4;Violent Crime;6;3;Social Trust;Rights & Dignity;Culture & Society;2;1;0.97;1.96;0.91;0.39;0.79;0.83
142;Čovjek iz Zalika ne voli izraze „ova“ i „ona“ strana.;"The man from Zalik doesn't like the phrases ""this"" and ""that"" side (of the city.)";youth;life together;1;2;2;5;6.8;1.3;;6;8;Language;1;3;Social;Culture & Society;Culture & Society;-1;1;0.97;0.65;1.82;0.78;0.83;0.71
143;Brakovi se ne razvode radi neimaštine.;Marriages do not divorce broken due to poverty.;women;life together;2;3;;5;6.2;20.8;;6;2;Personal Relationships;20;8;Livelihoods;Culture & Society;Economic Activity & Livelihoods;-1;2;0.97;1.31;2.73;0.00;0.83;1.12
144;Komos dolazi da čisti Gornji Zalik.;"Public firm ""Komos"" comes to clean Gornji Zalik (Upper Zalik).";youth;life together;2;2;1;5;10.6;18.1;;10;6;Public utilities;18;10;Waste management services;Rights & Dignity;Rights & Dignity;0;1;0.97;1.31;1.82;0.39;0.71;0.66
145;Oborinske vode s Fortice se ne slijevaju u Donji Zalik, jer na magistrali ima odvod.;Rainwater from Fortica does not flow into Donji Zalik, because there is a drain on the highway.;men;life together;1;4;;5;17.1;10.6;;17;10;Roads;10;6;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;-3;1;0.97;0.65;3.64;0.00;0.54;0.71
146;U Starom gradu redovno se odvozi smeće koje turisti ostavljaju ljeti, kako trgovci ne bi morali od smrada zatvarati prozore kad je vani 40 stepeni.;In the Old Town, garbage that tourists leave in the summer is regularly removed, so that workers would not have to close their windows because of the stench when it is 40 degrees celsius outside.;women;life together;2;;3;5;20.9;10.6;;20;9;Tourism;10;6;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;2;2;0.97;1.31;0.00;1.18;1.12;0.71
147;Ljudi ne idu na izbore samo da glasaju, nego da biraju.;People don't go to elections just to vote, but to choose.;men;life together;;;5;5;9.3;;;9;3;Political functionality;0;0;0;Rights & Dignity;0.00;0;5;0.97;0.00;0.00;1.96;0.77;0.00
148;Ima mladih ljudi u Mostaru koji žele biti keramičari, a ne doktori.;There are young people in Mostar who want to be tile installers, not doctors.;women;life together;;;5;5;15.4;19;;15;4;Livelihoods;19;0;Education;Culture & Society;Rights & Dignity;0;5;0.97;0.00;0.00;1.96;0.85;1.08
149;"Svi u Mostaru ""imaju nešto u džepu,"" pa su svi zadovoljni.";"Everyone in Mostar ""has something in their pockets"", so everyone is pleased.";women;life together;2;3;;5;20.8;;;20;8;Livelihoods;0;0;0;Economic Activity & Livelihoods;0.00;-1;2;0.97;1.31;2.73;0.00;1.12;0.00
150;Ljudi koji žive u soliteru ne dovode djecu autom u školu.;People who live in the Zalik's highrise don't drive their kids to school.;youth;life together;1;;4;5;15.6;2.3;;15;6;Parenting;2;3;Movement;Culture & Society;Security;1;1;0.97;0.65;0.00;1.57;0.85;0.93
151;Vjeronauka u školi radi na moralnom razvoju ličnosti.;Religious education at school works on the moral development of the personality.;men;life together;4;;1;5;14.1;19;;14;10;Religious education;19;0;Education;Culture & Society;Rights & Dignity;4;1;0.97;2.61;0.00;0.39;1.67;1.08
152;Čovjek, koji je bio u  Armiji BiH je išao i u istočnu i u zapadnu Hercegovnu, i nikad nije imao problema.;A man, who was in the Army of the Republic of Bosnia and Herzegovina, went to both east and west Herzegovina and never had any problems.;women;life together;3;2;;5;2.3;7;;2;3;Movement;7;0;Legacies of War;Security;Dealing with the Past;1;2;0.97;1.96;1.82;0.00;0.93;1.00
153;Mladi sa istočne strane izlaze u Black;Young people from the east side go to Cocktail and Lounge Bar Black Pearl.;youth;life together;;2;3;5;11.1;2.3;;11;10;Cafes and Space;2;3;Movement;Culture & Society;Security;-2;2;0.97;0.00;1.82;1.18;0.76;0.93
154;Ljudi, čija egzistencija nije ugrožena, nisu opterećeni nacionalnim problemima.;People, whose existence is not endangered, are not burdened with problems regarding different nationalities.;women;life together;2;1;2;5;20.8;8;;20;8;Livelihoods;8;0;Nationalism;Economic Activity & Livelihoods;Culture & Society;1;1;0.97;1.31;0.91;0.78;1.12;0.58
176;Mladi momak iznese komšiji drva.;The young man brought wood to the neighbor.;youth;life together;;1;3;4;6.6;6.12;;6;6;Inter-generational Relations;6;12;Neighbor Relations;Culture & Society;Culture & Society;-1;1;0.77;0.00;0.91;1.18;0.66;0.66
177;Ljudi u Zaliku se ne svađaju oko parking mjesta;People in Zalik don't argue about parking spots.;youth;life together;2;;2;4;21.1;6.3;;21;10;Parking;6;3;Social Trust;Culture & Society;Culture & Society;2;2;0.77;1.31;0.00;0.78;0.59;0.66
178;Ljudi ne upozoravaju osobe iz drugih mjesta da će ih neko pretući, jer se drugačije zovu.;People don't tell individuals who come from other places that someone will attack them because their they are named differently.;youth;life together;;;4;4;6.1;6.8;;6;10;Us V Them;6;8;Language;Culture & Society;Culture & Society;0;4;0.77;0.00;0.00;1.57;0.66;0.66
179;Majke lako upoznaju druge mame ispred škole u Zaliku.;Mothers easily meet other mothers in front of the school in Zalik.;women;life together;2;1;1;4;22;11.4;;22;0;Gender;11;4;Informal;Culture & Society;Culture & Society;1;1;0.77;1.31;0.91;0.39;0.67;0.61
180;Šef dopušta mladiću koji radi u bolnici na Bijelom brijegu da 5 puta dnevno ide na pauzu kako bi klanjao.;A boss allows his employee, who works at the University Clinical Hospital of Mostar Bijeli Brijeg, to take a break five times a day in order to pray.;youth;life together;2;;2;4;14.3;20.3;;14;3;Religious beliefs and practices;20;3;Workers protection and rights;Culture & Society;Economic Activity & Livelihoods;2;2;0.77;1.31;0.00;0.78;1.33;0.89
181;Ljudi koji žive kod Strelišta se organizuju da traže da im se uvede vodovod.;People who live near Strelište (Shooting range) organize themselves to seek that a water supply system be installed.;men;life together;;3;1;4;6.4;10.6;;6;4;Activism;10;6;Public utilities;Culture & Society;Rights & Dignity;-3;1;0.77;0.00;2.73;0.39;0.66;0.57
182;U Zaliku nije skučen prostor za omladinu, jer imaju puno kafića gdje se mogu družiti.;In Zalik, space for young people is not cramped, because there are many cafes where they can hang out.;men;life together;3;1;;4;11.1;15;;11;10;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;2;1;0.77;1.96;0.91;0.00;0.61;0.68
183;Trgovci koji rade u Starom gradu ne treba da mole Gradsku upravu da odvoze smeće.;Shops in the Old town don't have to beg the city administration for their trash to be picked up.;women;life together;2;2;;4;18.1;9.1;;18;10;Waste management services;9;10;City politics;Rights & Dignity;Rights & Dignity;0;2;0.77;1.31;1.82;0.00;0.53;0.61
184;Bolnice Bijeli brijeg i Južni logor bolje sarađuju nego bolnice u Sarajevu.;"University Clinical Hospital of Mostar and Cantonal Hospital ""Dr. Safet Mujic"" work together better than hospitals in Sarajevo.";men;life together;;;4;4;10.8;6.1;;10;8;Medical;6;10;Us V Them;Rights & Dignity;Culture & Society;0;4;0.77;0.00;0.00;1.57;0.57;0.66
185;Momci iz Bosne nisu jedini u Mostaru koji bi radili za dnevnicu od 40 KM.;Young men from Bosnia aren't the only ones in Mostar who would work for a daily wage of 40KM.;men;life together;1;;3;4;20.8;15.4;;20;8;Livelihoods;15;4;Livelihoods;Economic Activity & Livelihoods;Culture & Society;1;1;0.77;0.65;0.00;1.18;0.89;0.68
186;Prošle godine u novembru, nije se morao otkazati fudbalski turnir srednjoškolaca, jer hrvatski dječaci nisu napali bošnjačke dječake na Kanterevcu.;Last November, the football tournament of high schoolers did not have to be cancelled, because Croatian boys didn't attack Bosniak boys at Kantarevac.;women;life together;2;;2;4;4.1;12.3;;4;10;Sport & Hooliganism;12;3;Activities;Rights & Dignity;Culture & Society;2;2;0.77;1.31;0.00;0.78;0.63;0.40
187;Roditelji imaju vremena da pričaju sa svojom djecom.;Parents have enough time to speak with their kids;men;life together;2;1;1;4;15.6;;;15;6;Parenting;0;0;0;Culture & Society;0.00;1;1;0.77;1.31;0.91;0.39;0.68;0.00
188;Ljudi iz Zalika idu i na „ovu“ i na „onu“ stranu i nikad nisu imali problema.;People from Zalik go to this (east) and that (west) side of Mostar and they've never had problems.;women;life together;;;4;4;2.3;1.3;;2;3;Movement;1;3;Social;Security;Culture & Society;0;4;0.77;0.00;0.00;1.57;0.75;0.56
189;Kulturni centar Kralj Fahd ima kurseve, na koje idu svi građani Mostara.;The Cultural Center Kralj Fahd (King Fahd) has classes which all Mostar citizens attend.;youth;life together;;;4;4;19.2;6.9;;19;2;Non school based education;6;9;Ethno-religious identity;Rights & Dignity;Culture & Society;0;4;0.77;0.00;0.00;1.57;0.86;0.66
190;Momak ne ide u Njemačku, jer u Mostaru ima osiguranu egzistenciju.;The guy is not going to Germany, because he has a secure existence in Mostar.;youth;life together;1;;3;4;20.8;;;20;8;Livelihoods;0;0;0;Economic Activity & Livelihoods;0.00;1;1;0.77;0.65;0.00;1.18;0.89;0.00
191;Roditelji u Mostaru ne sprječavaju svoju djecu da se bave zanimanjima, kao što su vodoinstalater ili keramičar.;Parents in Mostar do not prevent their children from pursuing occupations, such as plumbing or ceramics.;women;life together;3;;1;4;15.4;15.6;;15;4;Livelihoods;15;6;Parenting;Culture & Society;Culture & Society;3;1;0.77;1.96;0.00;0.39;0.68;0.68
192;Kad stranci dođu u Mostaru, ne kažu da je Mostar prljav.;When foreigners come to Mostar, they don't say that Mostar is dirty.;women;life together;1;1;2;4;20.9;18;;20;9;Tourism;18;0;Environment;Economic Activity & Livelihoods;Rights & Dignity;0;1;0.77;0.65;0.91;0.78;0.89;0.53
217;Većina ljudi koji žive u Zaliku međusobno se poznaju;Most people who live in Zalik know each other.;youth;life together;1;1;1;3;6;;;6;0;Social Relations;0;0;0;Culture & Society;0.00;0;1;0.58;0.65;0.91;0.39;0.50;0.00
218;Ljudi poznaju ljude iz druge strane grada.;People know people from the other side of the city.;youth;life together;;;3;3;6;1.3;;6;0;Social Relations;1;3;Social;Culture & Society;Culture & Society;0;3;0.58;0.00;0.00;1.18;0.50;0.42
