#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
220;Sortirani otpad ne završava na jednoj gomili u Uborku;Sorted waste does not end up on one pile at Uborak;youth;life together;1;0;1;2;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;1;0;0.00;0.00;0.00;0.00;0.00;0.00
50;Ima postavljeni kanti za smeće po trotoaru;There are placed garbage bins on the side walk;youth;life together;0;0;1;1;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
51;Ima više nego 3-4 mjesta postavljenih kanti za reciklažu otpada u gradu.;There are more than 3-4 places for waste recycling bins in the city.;youth;life together;0;1;0;1;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
156;Nisu prepunjeni kontejneri jer otpad se redovno odvozi.;Containers are not overfilled because waste is regularly removed.;youth;life together;0;0;1;1;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
79;Ljudi bacaju otpad u kontejner, a ne pored njega;People throw garbage into the bin and not leave it next to it;youth;life together;0;0;1;1;18.1;3.9;;18;10;Waste management services;3;9;Public Ownership;Rights & Dignity;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
40;Fasade zgrada u Podhumu su obnovljene;The building facades in Podhum are renovated;youth;life together;2;0;0;2;17.4;;;17;4;Buildings;0;0;0;Economic Activity & Livelihoods;0.00;2;0;0.00;0.00;0.00;0.00;0.00;0.00
277;U Mostaru se ne začepi kanalizacija čim padne kiša.;In Mostar the sewer does not clog as soon as it starts to rain.;men;life together;3;4;2;9;17.2;10.7;;17;2;Public Space;10;7;Animals;Economic Activity & Livelihoods;Rights & Dignity;-1;2;0.00;0.00;0.00;0.00;0.00;0.00
186;Postavljanje video-nadzora u Mostar doprinosi sigurnosti;Video surveillance placement in Mostar contributes to safety;youth;life together;3;4;0;7;17.2;2.4;;17;2;Public Space;2;4;0;Economic Activity & Livelihoods;Security;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
44;Grad redovno mijenja oštećene šahtove u gradu.;The city officials regularly changes damaged manholes in Mostar;women;life together;2;0;0;2;17.1;9.3;;17;10;Roads;9;3;Political functionality;Economic Activity & Livelihoods;Rights & Dignity;2;0;0.00;0.00;0.00;0.00;0.00;0.00
213;Roditelji potiču djecu da upoznaju djecu s druge strane Grada;Parents encourage their children to meet peers from the other side of the town;women;life together;2;0;3;5;15.6;6.1;28.01.22;15;6;Parenting;6;10;Us V Them;Culture & Society;Culture & Society;2;0;0.00;0.00;0.00;0.00;0.00;0.00
121;Mlađe generacije (25 godina) nisu navikle na podjele u Mostaru.;Younger generations (25-year-olds) aren't used to divisions in Mostar;men;life together;0;1;0;1;15.5;7.6;;15;5;Inclusion;7;6;Intergroup;Culture & Society;Dealing with the Past;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
15;Ako je dijete palo na igralištu, ne pitamo koje je vjere - pomažemo bez obzira na to;If a child falls on the playground, we don't ask him about him what is his religion, we help him regardless of that.;youth;life together;4;2;1;7;15.5;3.4;;15;5;Inclusion;3;4;Integration;Culture & Society;Culture & Society;2;1;0.00;0.00;0.00;0.00;0.00;0.00
122;Mladi ljudi iz Mostara nisu prisiljeni ići u inostranstvo zbog posla.;Young people in Mostar are not forced to go abroad because of employment;women;life together;1;0;1;2;15.4;20.5;;15;4;Livelihoods;20;5;Youth employment;Culture & Society;Economic Activity & Livelihoods;1;0;0.00;0.00;0.00;0.00;0.00;0.00
49;Ima besplatnih prilika za psihološko savjetovanje (Youth Power);There are opportunities for free psychological counseling (Youth Power);youth;life together;0;0;1;1;15.3;9.7;;15;3;Health;9;7;Citizens' associations;Culture & Society;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
160;Omladina ne tipka na telefonu nego pričaju jedni s drugima kad izađu zajedno.;Young people do not stare at their phones when they're out, but talk to each other;men;life together;0;0;1;1;15;6.5;;15;0;Youth;6;5;Technology;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
2;Djeca se druže ispred zgrada u naseljima, a ne idu u igraonice.;Children hang out in the neighbourhood in front of the buildings and don't go to playgrounds;women;life together;0;1;0;1;15;3.1;;15;0;Youth;3;10;Open spaces;Culture & Society;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
124;Mladi ne napuštaju Mostar zbog sigurnosti.;Young people don't leave Mostar because of safety;men;life together;1;5;3;9;15;2;;15;0;Youth;2;0;Tranquility/Security;Culture & Society;Security;-4;1;0.00;0.00;0.00;0.00;0.00;0.00
11;Žena iz Podhuma, koja je obučena u skladu sa muslianskim običajima, pješke svaki dan prolazi pored crkve i hoda ulicama bez ikavih problema;A woman from Podhum, who is dressed in accordance with Muslim customs, walks past the church every day and walks the streets without any problems.;women;life together;0;0;1;1;14.2;22.3;;14;2;Interfaith relations;22;3;Safety and comfort;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
331;Žena, koja je obučena u skladu s muslimanskim običajima, je tokom 10 godina života u Podhumu eliminisala sve predrasude o jazu između različitih nacionalnosti.;The woman, who dresses in accordance with Muslim customs, eliminated all (her) prejudices about the gap between different nationalities during her 10 years of living in Podhum.;women;life together;0;1;1;2;14.2;6;;14;2;Interfaith relations;6;0;Social Relations;Culture & Society;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
