#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
241;Svi ljudi koji žive u Mostaru su prešli Stari most.;All people living in Mostar have crossed The Old Bridge;men;peace;1;2;0;3;3.6;2.3;;3;6;Stari Most;2;3;Movement;Culture & Society;Security;-1;0;1.239130435;1.838709677;2.124223602;0;1.363636364;1
193;Postoji ljetni sajam gdje prodaja kolača, narukvica i slično za dobrotvorne svrhe (npr. za sirotište);There is a summer fair where cakes, bracelets and the like are sold for charity (eg for an orphanage);youth;peace;0;2;2;4;3.7;6.1;;3;7;Activities;6;10;Us V Them;Culture & Society;Culture & Society;-2;0;1.652173913;0;2.124223602;2.1375;1.818181818;1.420289855
43;Grad organizuje programe da se djeca druže uživo;The city organizes events where children can play together in real life;youth;peace;1;1;0;2;3.7;15;;3;7;Activities;15;0;Youth;Culture & Society;Culture & Society;0;0;0.826086957;1.838709677;1.062111801;0;0.909090909;0.507042254
84;Ljudi koji su došli sa strane ne govore ružno o Mostaru;People who come from outside don't speak ill about Mostar;women;peace;0;0;1;1;3.9;6.7;44589;3;9;Public Ownership;6;7;Immigration;Culture & Society;Culture & Society;0;0;0.413043478;0;0;1.06875;0.454545455;0.355072464
76;Kriminalcisu ti koji prave probleme, a ne većina;The criminals are the ones who cause the problems and not the majority;youth;peace;0;0;1;1;4;6.3;;4;0;Criminality and Legal Enforcement;6;3;Social Trust;Rights & Dignity;Culture & Society;0;0;0.413043478;0;0;1.06875;0.403225806;0.355072464
151;Nema navijačkih sukoba kod Ultras Puba;There are no conflicts between team supporters by the Ultras Pub;youth;peace;0;4;2;6;4.1;2.1;;4;10;Sport & Hooliganism;2;10;Sense of safety;Rights & Dignity;Security;-4;0;2.47826087;0;4.248447205;2.1375;2.419354839;2
64;Kada ne dolazi do tučnjave među navijačima zbog crtanja grafita;When there is no fight among the fans over drawing graffiti;youth;peace;0;1;1;2;4.1;6.1;;4;10;Sport & Hooliganism;6;10;Us V Them;Rights & Dignity;Culture & Society;-1;0;0.826086957;0;1.062111801;1.06875;0.806451613;0.710144928
63;Kada navijači ne dogovaraju susret radi bitke (npr. petkom u 18 h kod Ere);When the supporters of local teams don't arrange a fight meeting (e.g. Fridays at 6, by the hotel Ero);youth;peace;2;3;2;7;4.1;12;;4;10;Sport & Hooliganism;12;0;Sport;Rights & Dignity;Culture & Society;-1;2;2.891304348;3.677419355;3.186335404;2.1375;2.822580645;2.172413793
275;U Mostaru se huligani ne biju nakon utakmica.;Hooligans don't fight after the games in Mostar;men;peace;0;0;1;1;4.1;12;;4;10;Sport & Hooliganism;12;0;Sport;Rights & Dignity;Culture & Society;0;0;0.413043478;0;0;1.06875;0.403225806;0.310344828
58;Kada djeca od 12 godina ne moraju razmišljati da li će ih huligani napasti u blizini stadiona Zrinjskog;When 12-year-olds don't have to think about whether hooligans will attack them near the Zrinjski Stadium;youth;peace;1;0;1;2;4.1;15;;4;10;Sport & Hooliganism;15;0;Youth;Rights & Dignity;Culture & Society;1;0;0.826086957;1.838709677;0;1.06875;0.806451613;0.507042254
65;Kada pijani navijači (ljuti zbog poraza Zrinjskog) verbalno ne napadaju na ulici žene koje nose majicu Veleža;When drunk fans (angry because Zrninjski lost the game) don't verbally assault women wearing Velež jearsy;youth;peace;0;0;1;1;4.1;22.2;;4;10;Sport & Hooliganism;22;2;Gender based violence;Rights & Dignity;Culture & Society;0;0;0.413043478;0;0;1.06875;0.403225806;0.6
69;Kada u naselju nema huligana;When there aren't any hooligans in the neighbourhoods;youth;peace;1;0;1;2;4.1;;;4;10;Sport & Hooliganism;0;0;0;Rights & Dignity;0;1;0;0.826086957;1.838709677;0;1.06875;0.806451613;0
104;Ljudi u Mostaru su stekli povjerenje u sistem, jer on nije korumpiran.;People in Mostar have gained trust in the system, since it is not corrupted;women;peace;0;4;3;7;4.2;9.2;;4;2;Corruption;9;2;Political accountability;Rights & Dignity;Rights & Dignity;-4;0;2.891304348;0;4.248447205;3.20625;2.822580645;2.592592593
147;Nacionalni predstavnici sva tri naroda se interesuju za obične ljude, a ne samo kako da raspoređuju funkcije i pare.;The national representatives of all three nations are interested in ordinary people, and not only in how to distribute functions and money.;men;peace;1;1;0;2;4.2;9.2;;4;2;Corruption;9;2;Political accountability;Rights & Dignity;Rights & Dignity;0;0;0.826086957;1.838709677;1.062111801;0;0.806451613;0.740740741
175;Policija iz Mostara ne pušta džeparoše iz pritvora nakon 2 sata.;The police don't let the pickpocketers leave custody after only two hours.;men;peace;2;0;2;4;4.3;5.1;;4;3;Non-violent Crime;5;10;Accountability;Rights & Dignity;Armed Actors;2;0;1.652173913;3.677419355;0;2.1375;1.612903226;1.92
216;S auta parkiranih u Franjevačkoj ulici se ne kradu tablice.;There is no stealing plates from cars parked in Franjevačka street;women;peace;1;0;1;2;4.3;21;;4;3;Non-violent Crime;21;0;Motor Vehicles;Rights & Dignity;Culture & Society;1;0;0.826086957;1.838709677;0;1.06875;0.806451613;0.8
16;Auta parkirana u DUM-u se ne guraju u Radobolju.;The cars parked at DUM are not being pushed into Radobolja;women;peace;0;1;0;1;4.3;21;;4;3;Non-violent Crime;21;0;Motor Vehicles;Rights & Dignity;Culture & Society;-1;0;0.413043478;0;1.062111801;0;0.403225806;0.4
