#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
72;U Blagaju postoji više NVO organizacija;In Blagaj there exists more Non-Governmental organizations;youth;peace;;3.0;1.0;4;9.7;;;9;7.0;Citizens' associations;0;0;0;Rights & Dignity;0;-3.0;1.0;1.056058;0.0;2.234694;0.890244;0.470588;0.0
73;U Blagaju postoji više organizacija koje bi radile na sličnim projektima kao kuća na Rebru;In Blagaj there exists more organizations who would work on similar projects like the house on Rebro;youth;peace;;2.0;2.0;4;9.7;;;9;7.0;Citizens' associations;0;0;0;Rights & Dignity;0;;;1.056058;0.0;1.489796;1.780488;0.470588;0.0
74;"Kad osoba vidi gomilu smeća na nekom mjestu, ne pomisli ""Hajde bacili su i oni, bacit ću i ja.""";"When someone sees a pile of trash on some place, they don't think to themselves, ""Well they threw it there, I'll throw it, too.""";youth;peace;1.0;1.0;2.0;4;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;0.0;1.0;1.056058;0.756477;0.744898;1.780488;0.486667;0.8
75;Ljudi koji dobiju novčane kazne bi razmislili prije nego što bi opet odlagali otpad na ilegalan način;People who receive fines would think twice before dumping waste illegally again;youth;peace;2.0;1.0;1.0;4;18.2;4.3;;18;2.0;Waste prevention;4;3.0;Non-violent Crime;Rights & Dignity;Rights & Dignity;1.0;1.0;1.056058;1.512953;0.744898;0.890244;0.486667;0.969697
76;U Blagaju postoji cesta za bicikliste;In Blagaj there exists a bicycle lane.;youth;peace;1.0;2.0;1.0;4;17.1;;;17;10.0;Roads;0;0;0;Economic Activity & Livelihoods;0;-1.0;1.0;1.056058;0.756477;1.489796;0.890244;0.954248;0.0
77;Ljudi koje dolaze u Blagaj znaju da postoji put do Herceg Stjepan-grada;People who come to Blagaj know that there exists a path to Herceg Stjepan fortress;youth;peace;;1.0;3.0;4;17.1;10.4;;17;10.0;Roads;10;4.0;Public information;Economic Activity & Livelihoods;Rights & Dignity;;;1.056058;0.0;0.744898;2.670732;0.954248;1.157895
78;Postoje strijelice i putokazi koji pokazuju kako doći do Herceg Stjepan grada;The route to Herceg Stjepan fortress is marked by arrows and signposts.;youth;peace;1.0;3.0;;4;17.1;;;17;10.0;Roads;0;0;0;Economic Activity & Livelihoods;0;;;1.056058;0.756477;2.234694;0.0;0.954248;0.0
79;Ceste u Blagaju su se obnavljale;Blagaj's roads have been renovated.;youth;peace;1.0;1.0;2.0;4;17.1;;;17;10.0;Roads;0;0;0;Economic Activity & Livelihoods;0;0.0;1.0;1.056058;0.756477;0.744898;1.780488;0.954248;0.0
80;Sigurnost poteče iz države;Security flows from the state.;youth;peace;3.0;1.0;;4;9.0;2.0;;9;0.0;Governance;2;0;Tranquility/Security;Rights & Dignity;Security;2.0;1.0;1.056058;2.26943;0.744898;0.0;0.470588;1.114754
81;Ljudi imaju pravo glasa;People have the right to vote.;women;peace;1.0;2.0;1.0;4;9.2;;;9;2.0;Political accountability;0;0;0;Rights & Dignity;0;;;1.056058;0.756477;1.489796;0.890244;0.470588;0.0
