#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
64;Svaki kafić u Zaliku ima svoju raju.;"Every cafe in Zalik has its own ""raja"" (local term used to describe a small social group of people)";men;life together;3.0;2.0;4.0;9;11.1;6.0;;11;10.0;Cafes and Space;6;0;Social Relations;Culture & Society;Culture & Society;;;1.786031;2.026415;1.884211;1.60179;0.604049;1.584
65;U Zaliku postoji udruženje koje pokreće druge inicijative, osim čišćenja.;There is an association in Zalik that initiates events other than cleaning ones.;women;life together;6.0;1.0;2.0;9;9.7;3.7;;9;7.0;Citizens' associations;3;7.0;Activities;Rights & Dignity;Culture & Society;;;1.786031;4.05283;0.942105;0.800895;1.095918;1.125
66;Mame u Zaliku se druže.;The mothers in Zalik hang out.;women;life together;3.0;4.0;2.0;9;11.4;22.0;;11;4.0;Informal;22;0;Gender;Culture & Society;Culture & Society;;;1.786031;2.026415;3.768421;0.800895;0.604049;1.5
67;U Zaliku ima dovoljno mjesta za parking.;In Zalik there are enough parking places.;women;life together;2.0;3.0;4.0;9;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;;;1.786031;1.350943;2.826316;1.60179;14.916667;0.0
68;Ljudi mogu promijeniti stvari u Mostaru glasanjem na izborima.;People can change things in Mostar by voting during the election period.;men;life together;4.0;1.0;4.0;9;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;3.0;1.0;1.786031;2.701887;0.942105;1.60179;1.095918;0.0
75;U Bolnicama se ne pravi razlika između pacijenata različitih vjera.;In hospitals, no differences are made between patients of different religions.;women;life together;2.0;1.0;5.0;8;23.2;6.9;2022-02-12 00:00:00;23;2.0;0;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;1.0;1.0;1.587583;1.350943;0.942105;2.002237;9.546667;1.408
76;Učenici se odlučuju da idu na zanatski smjer u Građevinskoj, na kojem dobijaju stipendiju od 250 KM mjesečno.;Students decide to attend the Crafts department at the Civil Engineering High School in Mostar, in which they are given a monthly stipend of 250KM.;women;life together;3.0;1.0;4.0;8;19.1;15.4;;19;10.0;Technical schools;15;4.0;Livelihoods;Rights & Dignity;Culture & Society;;;1.587583;2.026415;0.942105;1.60179;4.837838;1.419355
77;Škola u Zaliku uči djecu da poštuju druge i drugačije.;The school in Zalik teaches kids to respect others and their differences.;women;life together;1.0;3.0;4.0;8;19.3;1.1;;19;3.0;School inclusiveness;1;10.0;Personal value;Rights & Dignity;Culture & Society;;;1.587583;0.675472;2.826316;1.60179;4.837838;1.21519
78;Mladi sa istočne strane izlaze u Ice;Young people from the east side go to the Ice Bar.;men;life together;;5.0;3.0;8;11.1;2.3;;11;10.0;Cafes and Space;2;3.0;Movement;Culture & Society;Security;;;1.587583;0.0;4.710526;1.201342;0.536933;1.491525
79;Mladi sa istočne strane jedu kolače u Aldiju;Young people from the east side eat cakes at Aldi.;youth;life together;;;8.0;8;11.1;2.3;;11;10.0;Cafes and Space;2;3.0;Movement;Culture & Society;Security;0.0;8.0;1.587583;0.0;0.0;3.203579;0.536933;1.491525
