#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
66;U parku Zrinjevac, sva djeca se zajedno igraju.;All children play together at Zrinjevac Park;youth;life together;1.0;2.0;4.0;7;3.1;15.5;;3;10.0;Open Spaces;15;5;Inclusion;Culture & Society;Culture & Society;-1;1;1.894118;1.016575;2.044444;2.351438;0.120026;1.123457
67;Na Bijelom Brijegu djeca su organizirala doček Nove godine u podne – mala Nova godina.;The children of Bijeli Brijeg arranged a New Year's Eve at noon - a little New Year.;women;life together;1.0;4.0;2.0;7;15.1;11.2;;15;10.0;Engagement;11;2.0;Social;Culture & Society;Culture & Society;-3;1;1.894118;1.016575;4.088889;1.175719;0.305793;1.240157
68;Ljudi u Mostaru su motivirani da prave male pozitivne promjene u svojoj zajednici.;Mostar residents are inspired to make small but significant improvements in their community.;women;life together;1.0;1.0;5.0;7;3.2;6.3;;3;2.0;Public Ownership;6;3.0;Social Trust;Culture & Society;Culture & Society;0;1;1.894118;1.016575;1.022222;2.939297;0.120026;1.623711
69;Političari, ako nisu ništa uradili za 3-4 godine mandata, sklone se da neko pametniji preuzme.;Politicians are more likely to choose someone wiser if they haven't accomplished anything in the first three to four years of their mandate.;youth;life together;4.0;1.0;2.0;7;9.3;9.9;;9;3.0;Political functionality;9;9.0;Political parties;Rights & Dignity;Rights & Dignity;3;1;1.894118;4.066298;1.022222;1.175719;1.731183;1.354839
70;Boćalište okuplja i starije i mlade stanare Bijelog Brijega kojima je ta igra zanimljiva.;Bocce brings together residents of Bijeli Brijeg, both young and elderly, who enjoy the game.;men;life together;1.0;1.0;5.0;7;6.6;12.3;;6;6.0;Inter-generational Relations;12;3.0;Activities;Culture & Society;Culture & Society;0;1;1.894118;1.016575;1.022222;2.939297;0.147537;1.206897
71;Mnogo ljudi iz cijelog grada šeta po Trimuši.;Many people from all over the city walk around Trimuša.;men;life together;;1.0;6.0;7;11.3;3.5;;11;3.0;Individual Leisure;3;5;Use of outdoors;Culture & Society;Culture & Society;-1;1;1.894118;0.0;1.022222;3.527157;0.112686;1.56621
81;Mladež se skuplja u kafiću u Cimu.;The young people gather at a café in Cim;youth;life together;;;6.0;6;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;0;6;1.623529;0.0;0.0;3.527157;0.096588;0.962963
82;Djevojka sa Bijelog Brijega je bliska sa svojim susjedima.;The girl from Bijeli Brijeg is friendly with her neighbors.;youth;life together;1.0;;5.0;6;6.2;6.12;;6;2.0;Personal relationships;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;1;1;1.623529;1.016575;0.0;2.939297;0.12646;1.391753
83;U Mostaru, svatko želi da im je ljepše u naselju.;Everyone in Mostar wants to feel comfortable in their environment.;youth;life together;1.0;;5.0;6;15.0;3.1;;15;0.0;Youth;3;10.0;Open Spaces;Culture & Society;Culture & Society;1;1;1.623529;1.016575;0.0;2.939297;0.262108;1.342466
84;U parku Zrinjevac, ima najviše djece.;There are a lot of children at Zrinjevac Park.;youth;life together;;3.0;3.0;6;3.1;15.0;;3;10.0;Open Spaces;15;0;Youth;Culture & Society;Culture & Society;-3;3;1.623529;0.0;3.066667;1.763578;0.10288;0.962963
