#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
69;Starije generacije nisu zadojene mržnjom na nacionalnoj osnovi.;Older generations are not imbued with hatred on a nationality basis.;women;peace;4.0;1.0;3.0;8;6.9;6.1;;6;9.0;Ethno-religious identity;6;10.0;Us V Them;Culture & Society;Culture & Society;3;1;1.84127;3.184314;1.091398;1.380952;0.136345;1.241877
70;Nečiji babo ili otac ne kaže nekom dječaku: “Kakav si ti Mostarac ako živiš u Mahali a nisi član Sinova Mahale?”;"Someone's father won't say to a boy: ""What kind of a Mostarian are you if you live in Mostar but aren't a member of Sinovi Mahale (Sons of Mahala)?""";women;peace;3.0;2.0;3.0;8;22.1;15.1;;22;10.0;Gender norms;15;10.0;Engagement;Culture & Society;Culture & Society;1;2;1.84127;2.388235;2.182796;1.380952;7.733333;1.185185
71;U Zaliku ima više zelenih površina.;In Zalik there are more green areas;men;peace;;2.0;6.0;8;3.1;3.8;;3;10.0;Open Spaces;3;8.0;Condition;Culture & Society;Culture & Society;-2;2;1.84127;0.0;2.182796;2.761905;1.194118;1.505882
72;Utakmice između Veleža i Zrinjskog protiču bez nereda.;The football games between Velež and Zrinjski end without issues.;youth;peace;5.0;2.0;1.0;8;12.3;4.1;;12;3.0;Activities;4;10.0;Sport & Hooliganism;Culture & Society;Rights & Dignity;3;1;1.84127;3.980392;2.182796;0.460317;14.0;1.292308
73;Direktori škola po bosanskom planu sa zadovoljstvom učestvuju u zajedničkim aktivnostima.;The principals of schools which use the Bosnian national curriculum participate in joint activities with pleasure.;youth;peace;4.0;;4.0;8;19.3;19.4;;19;3.0;School inclusiveness;19;4.0;Student activities;Rights & Dignity;Rights & Dignity;4;4;1.84127;3.184314;0.0;1.84127;0.559229;1.586777
74;Problem pasa lutalica se rješava, iako je popunjen azil za pse.;The problem of stray dogs is being solved, even though the dog shelter has reached its capacity.;men;peace;;1.0;7.0;8;10.7;9.3;;10;7.0;Animals;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;-1;1;1.84127;0.0;1.091398;3.222222;2.114583;1.563218
81;Ljudi u Zaliku pomažu starijim komšijama.;People in Zalik help the older neighbors.;men;peace;;4.0;3.0;7;6.6;6.1;2022-02-14 00:00:00;6;6.0;Inter-generational Relations;6;10.0;Us V Them;Culture & Society;Culture & Society;-4;3;1.611111;0.0;4.365591;1.380952;0.119301;1.086643
82;Čovjek iz Zalika se pazi s novim komšijama.;A man from Zalik takes care of his new neighbors.;men;peace;1.0;4.0;2.0;7;6.1;;2022-02-14 00:00:00;6;10.0;Us V Them;0;0;0;Culture & Society;0;-3;1;1.611111;0.796078;4.365591;0.920635;0.119301;0.0
83;Teta u vrtiću „Sportić“ blizu Merkatora ne kaže mami Bošnjakinji koja želi da upiše svoje dijete tu, da će njena curica morati da priča hrvatski jezik.;"The kindergarten teacher (female) at ""Sportić"" near the Mercator shopping mall doesn't say to a Bosniak mother who wants to sign up her kid to go there, that her little girl will have to speak Croatian.";women;peace;;;7.0;7;6.8;19.3;;6;8.0;Language;19;3.0;School inclusiveness;Culture & Society;Rights & Dignity;0;7;1.611111;0.0;0.0;3.222222;0.119301;1.38843
84;Svi pacijenti se mogu pregledati, jer medicinski radnici ne štrajkuju.;All patients can get treated because their medical staff isn't on strike.;men;peace;2.0;1.0;4.0;7;23.2;;2022-02-12 00:00:00;23;2.0;0;0;0;0;Rights & Dignity;0;1;1;1.611111;1.592157;1.091398;1.84127;6.766667;0.0
