#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
77.0;Trimuša se zbog akcije čišćenja održava čistom.;Trimuša is kept clean due to cleaning actions.;youth;peace;2.0;2.0;2.0;6;3.8;18.3;;3;8.0;Condition;18;3.0;Environmental Restoration;Culture & Society;Rights & Dignity;0;2;1.576197;2.022346;2;1.100304;0.193929;1.395349
78.0;Izgrađeno je igralište iznad stadiona sa raznim sadržajima (igralište za djecu, sprave za vježbanje, košarkaško igralište...);A playground is built behind the stadium with various elements (playground for children, exercise equipment, basketball court ...);woman;peace;;4.0;2.0;6;17.2;3.8;;17;2.0;Public Spaces;3;8.0;Condition;Economic Activity & Livelihoods;Culture & Society;-4;2;1.576197;0.0;4;1.100304;1.533898;1.3125
79.0;Huligani ne prave izgrede nakon utakmice.;Hooligans do not cause trouble after a [football] game/match.;men;peace;1.0;;5.0;6;12.0;4.1;;12;0.0;Sport;4;10.0;Sport & Hooliganism;Culture & Society;Rights & Dignity;1;1;1.576197;1.011173;0;2.75076;5.715789;1.459459
80.0;Ljudi i van Mostara su čuli za akaciju prikupljanja humanitarne pomoći, koju su pokrenuli Ultrasi nakon potresa u Zagrebu.;People outside Mostar also hear about the humanitarian aid action, which the Ultras began after the earthquake in Zagreb.;youth;peace;1.0;;5.0;6;10.4;6.1;;10;4.0;Public information;6;10.0;Us V Them;Rights & Dignity;Culture & Society;1;1;1.576197;1.011173;0;2.75076;3.166181;1.207547
87.0;Na Bijelom Brijegu stari ljudi često šetaju.;In Bijeli Brijeg elderly people often go for a walk.;youth;peace;1.0;1.0;3.0;5;3.1;11.3;;3;10.0;Open Spaces;11;3.0;Individual Leisure;Culture & Society;Culture & Society;0;1;1.313498;1.011173;1;1.650456;0.161607;0.736434
88.0;Kad je 2012. pao veliki snijeg, u zgradi na Bijelom Brijegu je svatko svakome nešto donosio.;During the big snow of 2012, in Bijeli Brijeg buildings everyone helped each other with something.;youth;peace;1.0;2.0;2.0;5;6.1;;2022-02-14;6;10.0;Us V Them;0;0.0;0;Culture & Society;0;-1;1;1.313498;1.011173;2;1.100304;0.177869;0.0
89.0;Ljudi u Mostaru prihvataju nešto što im je bilo nepoznato (npr. ljude druge rase, nacije, itd.);People in Mostar accept something that was previously unknown to them (e.g. people of other races, nations, etc.);youth;peace;;4.0;1.0;5;1.0;6.9;;1;0.0;Integration and Acceptance;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-4;1;1.313498;0.0;4;0.550152;1.528716;1.006289
90.0;Udruga „Stop nelegalnoj gradnji“ se organizirala protiv gradnje nove zgrade koja im je blokirala pogled iz zgrade.;The association Stop Illegal Construction organized themselves against the construction of a new building that blocked their view.;women;peace;3.0;1.0;1.0;5;6.4;9.7;;6;4.0;Activism;9;7.0;Citizens' associations;Culture & Society;Rights & Dignity;2;1;1.313498;3.03352;1;0.550152;0.177869;0.932203
91.0;Ljudi imaju motivaciju da nešto sami pokrenu u Mostaru.;People have the motivation to create something on their own in Mostar.;women;peace;2.0;;3.0;5;3.2;6.3;;3;2.0;Public Ownership;6;3.0;Social Trust;Culture & Society;Culture & Society;2;2;1.313498;2.022346;0;1.650456;0.161607;1.006289
92.0;Bolje je graditi ilegalno, nego rušiti.;It is better to construct illegally than to demolish [something].;youth;peace;;1.0;4.0;5;17.0;4.3;;17;0.0;Infrastructure;4;3.0;Non-violent Crime;Economic Activity & Livelihoods;Rights & Dignity;-1;1;1.313498;0.0;1;2.200608;1.278249;1.216216
