#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
74;Komšije/susjedi se u Podhumu druže kao prije rata.;Neighbours still socialize in Podhum as before the war;women;peace;1.0;2.0;;3;6.12;11.4;;6;12.0;Neighbor Relations;11;4.0;Informal;Culture & Society;Culture & Society;-1;1;1.209906;0.994186;3.638298;0.0;0.083961;1.32
76;Kriminalcisu ti koji prave probleme, a ne većina;The criminals are the ones who cause the problems and not the majority;youth;peace;;;1.0;1;4.0;6.3;;4;0.0;Criminality and Legal Enforcement;6;3.0;Social Trust;Rights & Dignity;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.110323;0.361538
78;Ljude koji imaju dovoljne plate ne zanimaju Dodik, Čović i Izetbegović;People who earn enough are not interested in Dodik, Čović and Izetbegović;men;peace;;;1.0;1;20.8;8.4;;20;8.0;Livelihoods;8;4.0;Politics;Economic Activity & Livelihoods;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.488571;1.0
81;Ljudi imaju platu od koje se može živjeti.;People have a salary from which they can live.;men;peace;3.0;3.0;2.0;8;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;0;2;3.226415;2.982558;5.457447;2.164557;3.908571;0.0
84;Ljudi koji su došli sa strane ne govore ružno o Mostaru;People who come from outside don't speak ill about Mostar;women;peace;;;1.0;1;3.2;6.7;2022-01-28;3;2.0;Public Ownership;6;7.0;Immigration;Culture & Society;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.194318;0.361538
85;Ljudi koji u Mostaru zagovaraju sukobe su sankcionisani.;People who advocate for conflicts in Mostar are sanctioned;men;peace;1.0;;1.0;2;4.4;;;4;4.0;Violent Crime;0;0;0;Rights & Dignity;0;1;1;0.806604;0.994186;0.0;1.082278;0.220645;0.0
86;Ljudi mirno hodaju i po lijevoj i po desnoj strani grada.;People walk peacefully on both the left and the right side of the city.;men;peace;4.0;1.0;3.0;8;2.0;2.3;;2;0.0;Tranquility/Security;2;3.0;Movement;Security;Security;3;1;3.226415;3.976744;1.819149;3.246835;0.914439;2.588235
90;Ljudi različitih vjera su naučili živjeti zajedno u Mostaru;People of different religions learned how to live together in Mostar;women;peace;2.0;;5.0;7;14.2;6.3;;14;2.0;Interfaith relations;6;3.0;Social Trust;Culture & Society;Culture & Society;2;2;2.823113;1.988372;0.0;5.411392;3.86129;2.530769
94;Ljudi se ne boje da će se opet desiti rat.;People are not afraid that the war could happen again;men;peace;;1.0;;1;2.0;7.0;;2;0.0;Tranquility/Security;7;0;Legacies of War;Security;Dealing with the Past;-1;1;0.403302;0.0;1.819149;0.0;0.114305;0.296296
96;Ljudi se osjećaju sigurno u ulici fra Ambre Miletića, jer nema kriminala.;People feel safe in Fra Ambro Miletić street because there are no criminals.;women;peace;;1.0;;1;2.2;4.0;;2;2.0;Confidence;4;0;Criminality and Legal Enforcement;Security;Rights & Dignity;-1;1;0.403302;0.0;1.819149;0.0;0.114305;0.403226
100;Ljudi u Mostaru idu na posao i vraćaju se s njega, a niko ih ne dira, niti oni nekoga diraju.;In Mostar, people go to work and back without being bothered or bothering anyone;men;peace;2.0;2.0;;4;20.0;2.0;;20;0.0;Business;2;0;Tranquility/Security;Economic Activity & Livelihoods;Security;0;2;1.613208;1.988372;3.638298;0.0;1.954286;1.294118
101;Ljudi u Mostaru ne govore „istočna i zapadna strana“.;"People in Mostar don't use the terms ""east side"" and ""west side""";men;peace;3.0;1.0;1.0;5;6.8;6.1;;6;8.0;Language;6;10.0;Us V Them;Culture & Society;Culture & Society;2;1;2.016509;2.982558;1.819149;1.082278;0.139935;1.807692
102;Ljudi u Mostaru ne pričaju o ratu, nego gdje će ići na odmor.;People in Mostar don't talk about the war, but rather where to spend their holidays;men;peace;2.0;1.0;;3;7.1;11.3;;7;10.0;Memorialization;11;3.0;Individual Leisure;Dealing with the Past;Culture & Society;1;1;1.209906;1.988372;1.819149;0.0;2.375;1.32
104;Ljudi u Mostaru su stekli povjerenje u sistem, jer on nije korumpiran.;People in Mostar have gained trust in the system, since it is not corrupted;women;peace;4.0;;3.0;7;4.2;;;4;2.0;Corruption;0;0;0;Rights & Dignity;0;4;3;2.823113;3.976744;0.0;3.246835;0.772258;0.0
105;Ljudi u Mostaru žive od svog rada.;People in Mostar can live from their work.;men;peace;2.0;;;2;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;2;2;0.806604;1.988372;0.0;0.0;0.977143;0.0
110;Ljudi u Podhumu se osjećaju sigurnije, jer je policija redovno prisutna.;People of Podhum feel safe because police patrols regularly;women;peace;1.0;1.0;2.0;4;2.2;5.0;;2;2.0;Confidence;5;0;Police;Security;Armed Actors;0;1;1.613208;0.994186;1.819149;2.164557;0.457219;1.833333
113;Ljudi u Podhumu žive od izdavanja soba turistima.;People in Podhum live from renting rooms to tourists;men;peace;1.0;;;1;20.4;20.8;;20;4.0;Tourism;20;8.0;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;1;1;0.403302;0.994186;0.0;0.0;0.488571;0.285714
117;Ljudima koji žive u kućama u Podhumu niko ne razbija prozore.;Nobody breaks the windows of Podhum's tenants living in houses;women;peace;;1.0;1.0;2;2.1;4.4;;2;10.0;Sense of safety;4;4.0;Violent Crime;Security;Rights & Dignity;-1;1;0.806604;0.0;1.819149;1.082278;0.22861;0.806452
