#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
119;Svi su dobrodošli u Blagaj, mjesto suživota i mira.;Everyone is welcome in Blagaj, a place of coexistence and peace.;men;life together;;3.0;;3;1.3;;;1;3.0;Social;0;0;0;Culture & Society;0;-3;3;0.842105;0.0;2.322581;0.0;0.077922;0.0
120;U Blagaju ne fali park.;In Blagaj there are not missing any parks.;women;life together;1.0;2.0;;3;3.0;17.0;;3;0.0;Public space;17;0;Infrastructure;Culture & Society;Economic Activity & Livelihoods;-1;1;0.842105;0.742268;1.548387;0.0;0.2304;0.533333
121;„Lijeva i desna strana“ su izašle iz riječnika.;"The terms ""left and right side"" have disappeared from the dictionary.";women;life together;1.0;1.0;1.0;3;7.6;6.8;;7;6.0;Intergroup;6;8.0;Language;Dealing with the Past;Culture & Society;0;1;0.842105;0.742268;0.774194;1.082707;0.553846;1.075
122;Čaršija je živnula, jer svi ljudi dolaze u nju.;Čaršija is alive since all people come to it.;women;life together;1.0;2.0;;3;3.3;2.3;;3;3.0;Comfort;2;3.0;Movement;Culture & Society;Security;-1;1;0.842105;0.742268;1.548387;0.0;0.2304;0.583333
123;Na Summer Fest, koji se organizuje na 5-6 lokacija u Mostaru, dolaze ljudi svih vjera.;The Summer Fest, which is held at 5-6 locations across Mostar, attracts people of all faiths.;women;life together;3.0;;;3;3.7;6.9;;3;7.0;Activities;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;3;3;0.842105;2.226804;0.0;0.0;0.2304;1.075
124;Postoji moderni dio Blagaja.;There exists a modern part of Blagaj.;women;life together;3.0;;;3;17.2;;;17;2.0;Public Spaces;0;0;0;Economic Activity & Livelihoods;0;3;3;0.842105;2.226804;0.0;0.0;1.2;0.0
125;Na radnom mjestu ima adekvatna zaštita radnika;In the workplace, there exists adequate protection of workers.;youth;life together;;1.0;2.0;3;20.3;;;20;3.0;Worker's protection and rights;0;0;0;Economic Activity & Livelihoods;0;-1;1;0.842105;0.0;0.774194;2.165414;0.93913;0.0
126;Ima mnogo preduzetnika (sam svoj gazda);There are many entrepreneurs (you're your own boss);youth;life together;;1.0;2.0;3;20.6;;;20;6.0;Small businesses;0;0;0;Economic Activity & Livelihoods;0;-1;1;0.842105;0.0;0.774194;2.165414;0.93913;0.0
127;U Blagaju ima sportskih igrališta;There are sports fields in Blagaj;women;life together;1.0;2.0;;3;12.1;;;12;10.0;Facilities;0;0;0;Culture & Society;0;-1;1;0.842105;0.742268;1.548387;0.0;5.61039;0.0
128;Kada ima studijskih razmjena u inostranstvo kojima se šire vidici mladima;When there are study exchanges abroad which expand young people's horizons.;youth;life together;1.0;;2.0;3;19.4;15.0;;19;4.0;Student activities;15;0;Youth;Rights & Dignity;Culture & Society;1;1;0.842105;0.742268;0.0;2.165414;0.268323;1.8
129;Kada studenti stvaraju radnu naviku kroz praksu u firmama (a ne da sjede ništa ne radeći u firmi);When students create work habits through internships in firms (and not that they sit and do nothing in the firm).;youth;life together;;;3.0;3;19.4;20.5;;19;4.0;Student activities;20;5;Youth employment;Rights & Dignity;Economic Activity & Livelihoods;0;3;0.842105;0.0;0.0;3.24812;0.268323;0.652174
130;Na području Mostara jedan te isti predmet koji se uči u školama nema 3 različita naziva (Histroija, istorija, povijest).;"In Mostar, one and the same subject taught in schools does not have three different names (""history"" as ""historija"", ""istorija"" and ""povijest"")";women;life together;2.0;;1.0;3;19.3;6.8;;19;3.0;School inclusiveness;6;8.0;Language;Rights & Dignity;Culture & Society;2;1;0.842105;1.484536;0.0;1.082707;0.268323;1.075
154;Svi učestvuju kada se organizuju humanitarne akcije za pomoć stanovništvu;Everyone participates when humanitarian actions to help residents are organized.;youth;life together;2.0;;;2;1.0;3.2;;1;0.0;Integration and Acceptance;3;2.0;Public Ownership;Culture & Society;Culture & Society;2;2;0.561404;1.484536;0.0;0.0;0.051948;0.666667
155;Sve nacionalnosti su jednako zastupljene u svim granama (ekonomija, privreda, politika);All nationalities are equally represented in all branches such as economy or politics.;men;life together;;1.0;1.0;2;20.2;1.0;;20;2.0;Hiring & employment;1;0;Integration and Acceptance;Economic Activity & Livelihoods;Culture & Society;-1;1;0.561404;0.0;0.774194;1.082707;0.626087;0.392857
156;Ima dosta primjera pomirenja u Mostaru;In Mostar, there are plenty of examples of reconciliation.;men;life together;1.0;;1.0;2;7.5;;;7;5.0;Reconciliation;0;0;0;Dealing with the Past;0;1;1;0.561404;0.742268;0.0;1.082707;0.369231;0.0
157;Blagaj je Jeruzalem.;Blagaj is Jerusalem.;men;life together;;2.0;;2;14.2;;;14;2.0;Interfaith relations;0;0;0;Culture & Society;0;-2;2;0.561404;0.0;1.548387;0.0;5.333333;0.0
158;Obični ljudi ne prave probleme.;Normal people do not make problems.;men;life together;;1.0;1.0;2;6.0;2.0;;6;0.0;Social Relations;2;0;Tranquility/Security;Culture & Society;Security;-1;1;0.561404;0.0;0.774194;1.082707;0.055814;0.388889
159;Ljudi u Blagaju se sami organizuju i pokreću;Blagaj residents organize and initiate projects on their own.;men;life together;;1.0;1.0;2;6.4;3.2;;6;4.0;Activism;3;2.0;Public Ownership;Culture & Society;Culture & Society;-1;1;0.561404;0.0;0.774194;1.082707;0.055814;0.666667
160;Bošnjaci su spremni na suživot.;Bosniaks are ready for coexistence.;men;life together;2.0;;;2;7.6;6.0;;7;6.0;Intergroup;6;0;Social Relations;Dealing with the Past;Culture & Society;2;2;0.561404;1.484536;0.0;0.0;0.369231;0.716667
161;Broj povrataka u Blagaj ukazuje da postoji suživot.;The number of people returning to Blagaj demonstrates that coexistence exists.;women;life together;1.0;1.0;;2;2.3;7.2;;2;3.0;Movement;7;2.0;Returns;Security;Dealing with the Past;0;1;0.561404;0.742268;0.774194;0.0;0.285714;0.433333
162;Bitno je samo da su ljudi dobri, a vjera i nacija ništa ne znače.;All that matters is that people are good, and faith and nationality don't mean anything.;women;life together;;;2.0;2;1.1;6.9;;1;10.0;Personal value;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;2;0.561404;0.0;0.0;2.165414;0.051948;0.716667
163;U Blagaju ne fale udruženja koja okupljaju žene.;Blagaj doesn't lack associations that bring women together.;women;life together;1.0;1.0;;2;22.4;9.7;;22;4.0;Gender based activites;9;1900-01-07 00:00:00;Citizens' associations;Culture & Society;Rights & Dignity;0;1;0.561404;0.742268;0.774194;0.0;0.514286;0.708333
164;Blagaj nije monoton zimi.;Blagaj is not monotonous during winter.;women;life together;1.0;1.0;;2;3.7;;;3;7.0;Activities;0;0;0;Culture & Society;0;0;1;0.561404;0.742268;0.774194;0.0;0.1536;0.0
165;Ljudi koje žive u Blagaju čine živost.;Blagaj's residents contribute to the city's liveliness.;women;life together;1.0;1.0;;2;3.3;;;3;3.0;Comfort;0;0;0;Culture & Society;0;0;1;0.561404;0.742268;0.774194;0.0;0.1536;0.0
166;Źene u Blagaju pletu zajedno.;Women in Blagaj knit together.;women;life together;;2.0;;2;22.4;;;22;4.0;Gender based activites;0;0;0;Culture & Society;0;-2;2;0.561404;0.0;1.548387;0.0;0.514286;0.0
